Tetra//ULoad_P_1_Tetra_micropore.dat
Pressure (bar), Loading (molec/nm^3), dP (bar), dLoading (molec/nm^3),
7.160048e-03, 1.534869e+00, 8.893937e-06, 1.759421e-02,
1.478677e-02, 1.601251e+00, 7.264835e-05, 1.811691e-02,
1.803261e+00, 1.608610e+00, 4.655369e-03, 2.489243e-03,
1.808264e+00, 1.596455e+00, 1.796828e-03, 1.566329e-02,
1.807848e+00, 1.599232e+00, 4.384286e-03, 1.750163e-02,
1.820747e+00, 1.624220e+00, 2.702175e-03, 3.112153e-02,
1.837605e+00, 1.675205e+00, 3.555098e-03, 3.775866e-02,
1.858462e+00, 1.682273e+00, 3.249931e-03, 3.076742e-02,
Tetra//ULoad_Dens_1_Tetra_mesopore.dat
Fluid density (molec/nm^3), Loading (molec/nm^3), dFluid density (molec/nm^3), dLoading (molec/nm^3),
8.685543e-04, 5.889570e-03, 1.012165e-06, 1.606246e-03,
1.743237e-03, 1.686559e-02, 3.066053e-06, 5.735447e-03,
3.515510e-03, 8.459564e-02, 3.244792e-06, 1.434674e-02,
7.160048e-03, 1.722432e+00, 8.893937e-06, 1.380708e-02,
1.478677e-02, 1.840491e+00, 7.264835e-05, 2.365997e-02,
1.803261e+00, 1.856475e+00, 4.655369e-03, 1.130577e-02,
1.808264e+00, 1.860836e+00, 1.796828e-03, 6.872324e-03,
1.807848e+00, 1.866994e+00, 4.384286e-03, 1.224452e-02,
1.820747e+00, 1.858159e+00, 2.702175e-03, 7.918901e-03,
1.837605e+00, 1.866994e+00, 3.555098e-03, 1.108969e-02,
1.858462e+00, 1.899119e+00, 3.249931e-03, 5.589902e-03,
Tetra//UdG_P_1_Tetra_micropore.dat
dG (kJ/mol), Loading (molec/nm^3), ddG (kJ/mol), dLoading (molec/nm^3),
1.562500e-02, -3.215205e+01, 0.000000e+00, 7.383712e-02,
3.125000e-02, -2.948482e+01, 0.000000e+00, 3.211735e-02,
6.250000e-02, -2.679629e+01, 0.000000e+00, 3.719121e-02,
1.250000e-01, -2.419558e+01, 0.000000e+00, 3.643034e-02,
2.500000e-01, -2.139255e+01, 0.000000e+00, 1.086798e-01,
5.000000e-01, -1.861071e+01, 0.000000e+00, 4.531413e-02,
1.000000e+00, -1.569287e+01, 0.000000e+00, 6.303630e-02,
2.000000e+00, 5.094747e+00, 0.000000e+00, 4.772911e-02,
4.000000e+00, 5.082319e+00, 0.000000e+00, 8.127435e-02,
8.000000e+00, 5.132667e+00, 0.000000e+00, 3.557288e-02,
1.600000e+01, 5.151331e+00, 0.000000e+00, 9.748327e-02,
3.200000e+01, 5.269473e+00, 0.000000e+00, 1.504288e-01,
6.400000e+01, 5.242597e+00, 0.000000e+00, 7.278915e-02,
Tetra//UdG_P_1_Tetra_surface.dat
dG (kJ/mol), Loading (molec/nm^3), ddG (kJ/mol), dLoading (molec/nm^3),
1.562500e-02, -2.361746e+01, 0.000000e+00, 4.290761e-01,
3.125000e-02, -2.310389e+01, 0.000000e+00, 6.143876e-01,
6.250000e-02, -2.271250e+01, 0.000000e+00, 2.946918e-01,
1.250000e-01, -2.272925e+01, 0.000000e+00, 2.635927e-01,
2.500000e-01, -2.275560e+01, 0.000000e+00, 1.547381e-01,
5.000000e-01, -2.333960e+01, 0.000000e+00, 4.760117e-02,
1.000000e+00, -2.037036e+01, 0.000000e+00, 5.530837e-02,
2.000000e+00, 4.966725e-01, 0.000000e+00, 1.582925e-02,
4.000000e+00, 5.419157e-01, 0.000000e+00, 4.125838e-02,
8.000000e+00, 5.333989e-01, 0.000000e+00, 5.225710e-02,
1.600000e+01, 4.974466e-01, 0.000000e+00, 8.364293e-02,
3.200000e+01, 4.034270e-01, 0.000000e+00, 9.698849e-02,
6.400000e+01, 4.338162e-01, 0.000000e+00, 8.047304e-02,
Tetra//UdG_P_1_Tetra_mesopore.dat
dG (kJ/mol), Loading (molec/nm^3), ddG (kJ/mol), dLoading (molec/nm^3),
1.562500e-02, inf, 0.000000e+00, nan,
3.125000e-02, inf, 0.000000e+00, nan,
6.250000e-02, -8.176891e+00, 0.000000e+00, 1.098279e+00,
1.250000e-01, -9.628952e+00, 0.000000e+00, 1.423550e+00,
2.500000e-01, -1.375747e+01, 0.000000e+00, 8.227843e-01,
5.000000e-01, -2.384106e+01, 0.000000e+00, 3.949249e-02,
1.000000e+00, -2.097575e+01, 0.000000e+00, 6.883363e-02,
2.000000e+00, -1.263925e-01, 0.000000e+00, 2.357628e-02,
4.000000e+00, -1.245870e-01, 0.000000e+00, 1.784672e-02,
8.000000e+00, -1.398996e-01, 0.000000e+00, 3.778455e-02,
1.600000e+01, -8.840512e-02, 0.000000e+00, 1.296578e-02,
3.200000e+01, -6.892218e-02, 0.000000e+00, 2.113913e-02,
6.400000e+01, -9.408689e-02, 0.000000e+00, 1.339162e-02,
